AT	-	Hannes	2135	\N
AT	-	Hans	6420	\N
AT	-	Hansjörg	336	\N
AT	-	Hans-Jörg	146	\N
AT	-	Hans-Jürgen	118	\N
AT	-	Hans-Peter	605	\N
AT	-	Harald	5193	\N
AT	-	Harry	92	\N
AT	-	Hatice	127	\N
AT	-	Hedwig	253	\N
AT	-	Hedy	110	\N
AT	-	Heide	637	\N
AT	-	Heidelinde	452	\N
AT	-	Heidemarie	1217	\N
AT	-	Heidi	845	\N
AT	-	Heidrun	310	\N
AT	-	Heike	448	\N
AT	-	Heimo	394	\N
AT	-	Heinrich	2722	\N
AT	-	Heinz	4380	\N
AT	-	Helena	287	\N
AT	-	Helene	3117	\N
AT	-	Helga	10219	\N
AT	-	Helma	221	\N
AT	-	Helmut	8090	\N
AT	-	Helmuth	714	\N
AT	-	Hemma	122	\N
AT	-	Henriette	408	\N
AT	-	Herbert	10702	\N
AT	-	Herma	322	\N
AT	-	Hermann	5890	\N
AT	-	Hermine	517	\N
AT	-	Herta	450	\N
AT	-	Herwig	655	\N
AT	-	Hilda	961	\N
AT	-	Hildegard	6487	\N
AT	-	Horst	2384	\N
AT	-	Hubert	3867	\N
AT	-	Hugo	376	\N
AT	-	Ida	414	\N
AT	-	Ilona	293	\N
AT	-	Ilse	3614	\N
AT	-	Ines	528	\N
AT	-	Inge	1627	\N
AT	-	Ingeborg	3534	\N
AT	-	Ingo	276	\N
AT	-	Ingrid	6898	\N
AT	-	Irene	2843	\N
AT	-	Irina	203	\N
AT	-	Iris	799	\N
AT	-	Irma	616	\N
AT	-	Irmgard	306	\N
AT	-	Isabelle	1628	\N
AT	-	Jacqueline	310	\N
AT	-	Jakob	951	\N
AT	-	Jan	465	\N
AT	-	Jana	250	\N
AT	-	Janina	76	\N
AT	-	Janine	129	\N
AT	-	Jasmin	674	\N
AT	-	Jasmina	197	\N
AT	-	Jasmine	87	\N
AT	-	Jelena	159	\N
AT	-	Jennifer	460	\N
AT	-	Jens	94	\N
AT	-	Jessica	147	\N
AT	-	Joachim	244	\N
AT	-	Joanna	105	\N
AT	-	Jochen	247	\N
AT	-	Johann	17558	\N
AT	-	Johanna	6315	\N
AT	-	Johannes	4685	\N
AT	-	Jörg	568	\N
AT	-	Josef	29724	\N
AT	-	Josefa	507	\N
AT	-	Josefine	1958	\N
AT	-	Judith	1125	\N
AT	-	Julia	1981	\N
AT	-	Julian	257	\N
AT	-	Juliana	439	\N
AT	-	Juliane	537	\N
AT	-	Julius	363	\N
AT	-	Jürgen	2312	\N
AT	-	Justine	189	\N
AT	-	Karin	9471	\N
AT	-	Karina	266	\N
AT	-	Karl	16260	\N
AT	-	Karla	142	\N
AT	-	Karl-Heinz	1057	\N
AT	-	Karoline	1570	\N
AT	-	Katharina	5357	\N
AT	-	Kathrin	672	\N
AT	-	Katrin	749	\N
AT	-	Klara	449	\N
AT	-	Klaus	4234	\N
AT	-	Klemens	192	\N
AT	-	Konrad	1067	\N
AT	-	Konstantin	106	\N
AT	-	Krista	127	\N
AT	-	Kristina	372	\N
AT	-	Kurt	5540	\N
AT	-	Larissa	78	\N
AT	-	Laura	376	\N
AT	-	Lea	92	\N
AT	-	Lena	182	\N
AT	-	Leo	597	\N
AT	-	Leopold	4170	\N
AT	-	Leopoldine	82	\N
AT	-	Liane	264	\N
AT	-	Linda	296	\N
AT	-	Lisa	953	\N
AT	-	Lisbeth	162	\N
AT	-	Liselotte	964	\N
AT	-	Lore	216	\N
AT	-	Lorenz	387	\N
AT	-	Lotte	329	\N
AT	-	Lucia	705	\N
AT	-	Ludwig	1932	\N
AT	-	Luise	2860	\N
AT	-	Lukas	1200	\N
AT	-	Lydia	642	\N
AT	-	Madeleine	85	\N
AT	-	Magdalena	1369	\N
AT	-	Maja	106	\N
AT	-	Manfred	9245	\N
AT	-	Manuel	1284	\N
AT	-	Manuela	3789	\N
AT	-	Mara	187	\N
AT	-	Marc	225	\N
AT	-	Marcel	358	\N
AT	-	Marcus	378	\N
AT	-	Margareta	1591	\N
AT	-	Margarete	8229	\N
AT	-	Margaretha	1028	\N
AT	-	Margarethe	2089	\N
AT	-	Margot	727	\N
AT	-	Maria	33060	\N
AT	-	Maria-Anna	58	\N
AT	-	Maria-Luise	123	\N
AT	-	Mariana	190	\N
AT	-	Marianne	5321	\N
AT	-	Marie	461	\N
AT	-	Marie-Luise	66	\N
AT	-	Marina	657	\N
AT	-	Marion	153	\N
AT	-	Marita	78	\N
AT	-	Marius	118	\N
AT	-	Mark	170	\N
AT	-	Marko	353	\N
AT	-	Markus	7002	\N
AT	-	Marlene	389	\N
AT	-	Marlies	115	\N
AT	-	Marta	230	\N
AT	-	Martha	2541	\N
AT	-	Martin	10271	\N
AT	-	Martina	5420	\N
AT	-	Mathias	635	\N
AT	-	Mathilde	1248	\N
AT	-	Matthias	2224	\N
AT	-	Max	1111	\N
AT	-	Maximilian	1052	\N
AT	-	Melanie	1387	\N
AT	-	Melitta	74	\N
AT	-	Michael	14245	\N
AT	-	Michaela	5037	\N
AT	-	Miriam	330	\N
AT	-	Monika	10732	\N
AT	-	Moritz	99	\N
AT	-	Nadine	698	\N
AT	-	Natalie	892	\N
AT	-	Nicola	138	\N
AT	-	Nicolas	101	\N
AT	-	Nicole	1707	\N
AT	-	Niklas	56	\N
AT	-	Niko	765	\N
AT	-	Nikola	215	\N
AT	-	Nina	952	\N
AT	-	Nora	219	\N
AT	-	Norbert	3236	\N
AT	-	Olga	808	\N
AT	-	Oliver	987	\N
AT	-	Olivia	108	\N
AT	-	Oskar	558	\N
AT	-	Ottilie	260	\N
AT	-	Otto	317	\N
AT	-	Pamela	120	\N
AT	-	Pascal	77	\N
AT	-	Patricia	711	\N
AT	-	Patrick	1543	\N
AT	-	Paul	2826	\N
AT	-	Paula	1576	\N
AT	-	Pauline	874	\N
AT	-	Peter	16657	\N
AT	-	Petra	4861	\N
AT	-	Philipp	1476	\N
AT	-	Pia	278	\N
AT	-	Raimund	178	\N
AT	-	Rainer	1467	\N
AT	-	Ralf	292	\N
AT	-	Ralph	188	\N
AT	-	Ramona	238	\N
AT	-	Raphael	286	\N
AT	-	Rebecca	168	\N
AT	-	Regina	2923	\N
AT	-	Regine	226	\N
AT	-	Reinhard	3611	\N
AT	-	Reinhold	1306	\N
AT	-	Renata	177	\N
AT	-	Renate	10005	\N
AT	-	Richard	3191	\N
AT	-	Rita	862	\N
AT	-	Robert	8004	\N
AT	-	Roland	3100	\N
AT	-	Rolf	162	\N
AT	-	Romana	1097	\N
AT	-	Ronald	626	\N
AT	-	Rosa	5040	\N
AT	-	Rosemarie	2164	\N
AT	-	Rosina	1043	\N
AT	-	Rosmarie	533	\N
AT	-	Roswitha	171	\N
AT	-	Rüdiger	117	\N
